date,Fetish fashion,Fishnet,Flannel,Flip-flops,Handbag,Handkerchief,Haute couture,Headband,Headpiece,Hijab
2014-03-23,0,29,39,0,74,18,34,63,0,42
2014-03-30,0,58,58,0,40,40,17,54,0,46
2014-04-06,0,0,49,0,69,31,35,45,50,56
2014-04-13,0,62,31,0,30,28,18,36,31,44
2014-04-20,0,50,30,0,53,74,36,66,40,50
2014-04-27,0,30,30,0,52,45,35,89,100,50
2014-05-04,0,29,24,0,34,36,26,69,20,54
2014-05-11,0,29,29,0,51,49,0,54,20,42
2014-05-18,0,31,39,0,48,24,27,31,21,50
2014-05-25,0,33,22,49,51,25,0,38,22,59
2014-06-01,0,33,74,0,58,45,0,44,22,47
2014-06-08,0,66,33,0,39,30,20,58,0,42
2014-06-15,0,33,22,0,77,51,20,44,22,53
2014-06-22,0,50,17,0,39,15,20,45,0,44
2014-06-29,0,0,28,0,46,41,30,34,23,81
2014-07-06,0,99,33,0,45,38,40,39,22,71
2014-07-13,0,33,22,0,45,51,59,28,22,62
2014-07-20,0,33,22,0,30,38,20,34,22,66
2014-07-27,0,0,34,0,46,15,0,39,0,52
2014-08-03,0,0,29,0,82,32,21,41,0,44
2014-08-10,0,33,33,0,38,25,39,33,66,62
2014-08-17,0,49,27,0,64,15,0,60,0,53
2014-08-24,0,32,48,0,63,25,19,32,22,67
2014-08-31,0,62,42,0,31,24,38,32,21,57
2014-09-07,0,31,66,0,48,23,27,62,41,48
2014-09-14,0,31,41,0,61,43,0,63,0,53
2014-09-21,0,41,72,0,42,70,18,41,21,59
2014-09-28,0,32,57,0,43,29,28,74,0,58
2014-10-05,0,31,78,0,36,28,36,67,0,48
2014-10-12,0,0,76,0,24,37,0,51,21,55
2014-10-19,0,40,65,0,47,14,18,81,61,53
2014-10-26,0,30,56,0,42,32,18,92,31,60
2014-11-02,0,30,100,0,41,46,35,60,20,47
2014-11-09,0,0,69,0,58,68,17,64,30,62
2014-11-16,0,45,70,0,58,27,0,30,0,64
2014-11-23,0,0,84,0,41,36,0,65,0,56
2014-11-30,0,59,78,44,75,54,17,64,20,61
2014-12-07,0,30,65,0,41,28,27,60,0,59
2014-12-14,0,0,30,0,44,23,0,41,21,52
2014-12-21,0,0,59,0,46,21,100,42,0,56
2014-12-28,0,33,22,49,57,50,0,74,22,55
2015-01-04,0,29,51,0,39,26,17,39,39,65
2015-01-11,0,28,21,43,92,39,34,62,19,62
2015-01-18,0,28,42,0,54,19,33,37,28,82
2015-01-25,0,0,21,0,49,47,17,56,19,71
2015-02-01,0,42,42,0,60,42,50,47,0,86
2015-02-08,0,28,70,0,41,30,25,52,19,65
2015-02-15,0,43,62,0,56,35,17,48,19,62
2015-02-22,64,28,51,0,27,30,16,79,28,78
2015-03-01,0,28,46,42,59,42,41,83,19,57
2015-03-08,0,0,70,42,57,32,16,84,0,72
2015-03-15,0,28,46,0,27,42,16,70,19,58
2015-03-22,0,45,40,0,18,46,27,35,20,68
2015-03-29,0,0,57,43,50,20,25,24,0,64
2015-04-05,0,57,29,0,33,13,17,53,29,61
2015-04-12,0,28,55,42,32,34,16,56,28,71
2015-04-19,0,28,41,0,49,46,0,60,19,84
2015-04-26,0,57,33,0,55,30,68,52,19,67
2015-05-03,0,42,28,0,54,38,17,47,19,61
2015-05-10,0,0,49,0,44,39,33,66,19,58
2015-05-17,0,0,37,0,49,25,17,37,19,82
2015-05-24,64,0,47,0,38,32,0,21,37,68
2015-05-31,0,0,79,0,76,38,0,33,38,62
2015-06-07,0,28,42,0,49,55,17,42,0,72
2015-06-14,0,55,28,0,49,34,49,33,19,70
2015-06-21,0,28,37,42,33,47,0,14,0,100
2015-06-28,0,28,47,0,33,26,17,14,0,92
2015-07-05,0,28,33,0,44,19,25,57,38,85
2015-07-12,0,57,19,0,33,39,17,33,38,78
2015-07-19,0,43,22,0,50,33,0,43,0,76
2015-07-26,0,0,42,0,65,26,16,52,19,51
2015-08-02,0,47,35,42,41,19,0,47,19,60
2015-08-09,0,28,21,0,54,21,66,42,19,72
2015-08-16,0,28,37,0,43,25,25,28,0,49
2015-08-23,0,54,36,0,37,25,32,41,18,59
2015-08-30,0,36,31,41,31,41,16,54,36,69
2015-09-06,0,27,49,41,39,33,32,32,18,71
2015-09-13,0,26,35,0,57,12,16,49,0,66
2015-09-20,62,27,54,0,55,53,16,68,18,80
2015-09-27,0,52,61,0,46,36,0,57,18,73
2015-10-04,0,26,69,0,46,24,15,70,35,79
2015-10-11,60,52,43,0,36,32,15,74,26,70
2015-10-18,0,26,56,0,66,24,31,65,88,75
2015-10-25,0,39,60,39,56,24,23,100,35,72
2015-11-01,0,26,82,0,70,35,31,35,26,65
2015-11-08,0,52,61,0,56,44,15,26,26,57
2015-11-15,0,64,64,0,50,53,0,47,26,89
2015-11-22,0,0,65,0,38,30,15,43,70,76
2015-11-29,0,25,97,0,35,31,15,43,17,66
2015-12-06,0,51,68,0,68,63,15,43,43,79
2015-12-13,0,53,62,0,55,49,16,76,36,58
2015-12-20,0,44,73,0,29,31,43,49,20,65
2015-12-27,0,29,33,0,22,44,17,24,19,68
