Category,Event,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25,value26,value27,value28,value29,value30,value31,value32,value33,value34,value35,value36,value37,value38,value39,value40,value41,value42,value43,value44,value45,value46,value47,Node,active0,active1,active2,active3,active4,active5,active6,active7,active8,active9,active10,active11,active12,active13,active14,active15,active16,active17,active18,active19,active20,active21,active22,active23,active24,active25,active26,active27,active28,active29,active30,active31,active32,active33,active34,active35,active36,active37,active38,active39,active40,active41,active42,active43,active44,active45,active46,active47
Bowler hat,London Fashion Week,0.446461561,-0.266370217,-0.423390197,-0.564010444,-0.350931203,0.637576713,0.236066843,0.810218524,0.780307307,0,0.428874033,0,-0.248793462,0.809159719,0.224573846,0.328243976,-0.568535244,0.55503474,-0.808290377,-0.011267611,-0.322831656,0,-0.090659683,-0.903978357,-0.400453896,-0.945343101,0,-0.333333333,0,-0.007478844,-0.198732158,-0.203385529,-0.764925057,-0.641897018,0.291844996,-0.02106295,0.208237441,-0.362790742,0,0,-0.701334384,0,-0.840981986,0.615291987,-0.773533973,-0.299471002,-0.442129759,0.29934217,London Fashion Week,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0
Bowler hat,Men's New York Fashion Week,0.311502765,-0.540475445,-0.19245009,0,0.202610225,0.51006137,0.176685456,-0.333041512,0.651862076,-0.673056181,0.050443327,-0.221530099,-0.583819382,0.763058395,-0.477219422,-0.15713484,-0.984731928,0.020869597,-0.2,-0.665750286,-0.963192986,-0.508196609,-0.090659683,0.557657185,0.669854717,-0.39197153,0.115986701,0.555555556,-0.031734041,-0.061898446,0.619585552,0.353076949,-0.057141006,0.136159974,0.879130629,-0.251997077,-0.940031984,0.242828565,0.634328198,-0.852603087,0.299333044,-0.87733897,0.159193695,0.248617849,-0.273080987,-0.205435413,0.897103406,0.28138743,Men's New York Fashion Week,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
Bowler hat,Milan Men's Fashion Week,0.352116181,-0.289121655,0.140379979,-0.841723507,0.108462341,-0.89042964,-0.539081084,-0.367199615,-0.763556833,-0.306858206,0.453989945,0.394424234,-0.200156433,0.178174161,-0.104435092,0.628539361,0.78567595,0.060675747,0.503322296,0.423659273,0.553801281,-0.131165167,0.544549813,-0.24752625,-0.148113171,-0.051923012,-0.379110821,0.555555556,0.517932332,0.485841437,-0.75727123,-0.007753662,-0.11496025,-0.136159974,0.717727197,0.652619563,-0.630914446,-0.44270834,0.674617477,-0.494403245,-0.22315185,0.547802788,-0.277563691,-0.384948677,0.197821822,0.299471002,0.334895068,-0.496288281,Milan Men's Fashion Week,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
Bowler hat,Milan SS Ready to Wear,0.577666894,-0.282602776,0.34078037,0.395471072,0.782992068,-0.357419113,0.831534016,-0.701164539,0.800138697,-0.711346924,-0.599573788,-0.564377896,-0.544951345,0.395473566,-0.455936865,0.887942227,0.846654243,-0.024213714,-0.19245009,0.396103182,0.09837689,-0.592651928,0.48797539,-0.011612217,-0.462740284,0.803657566,0.478011094,-0.19245009,-0.254927933,0.818556714,-0.473549029,0.317834907,-0.185869124,0.332404305,-0.369675144,-0.875325938,0.774074616,0.810033752,0.651331129,0.326771387,-0.200157538,0.666152858,-0.944006767,0.149943976,-0.427078804,0.220317127,0.089844331,-0.902649586,Milan SS Ready to Wear,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Bowler hat,New York Fashion Week,-0.424013529,-0.584920769,0.377777778,-0.33752637,-0.850962943,0.637576713,0,-0.333041512,0.698036219,0.981946259,0,0.369925869,-0.159223468,-0.392490928,0.309426374,-0.680413817,-0.568535244,-0.621637295,0,0.665750286,-0.627645116,0.721408419,0.732793492,0.26244533,0.19245009,0.375300634,0,-0.149478498,0.514337081,0,0,0.2608385,-0.660367586,-0.369577071,0.399187623,0.474578998,-0.25819889,-0.521040449,-0.472902961,0.388514345,-0.22315185,0,0,0.142056058,0.178660072,0.665751603,0.505291153,0,New York Fashion Week,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
Bowler hat,Paris Fashion Week Ready to Wear,0.223672533,0.991539705,0.717662528,0.084381593,-0.099258333,-0.738615169,-0.508285152,-0.661686388,-0.431102831,-0.638678013,-0.642038738,-0.333061335,0.758431278,0.101976748,-0.593124276,-0.15713484,-0.568535244,-0.181095489,-0.706547266,0.148249863,0.975066628,-0.885289523,-0.634617779,0.071428571,0.58337606,-0.154768259,0.185828988,0.962250449,0.031734041,0.800269584,0.847359045,-0.121951519,0.635455235,-0.730647192,-0.37291305,0.164398987,0.952524112,-0.011402229,0.534262963,-0.644278154,0,-0.566025142,-0.707777258,-0.034105005,0.997534655,-0.664833839,-0.730496147,-0.89802651,Paris Fashion Week Ready to Wear,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0
Bowler hat,Pitti Immagine,0.053934351,0.704905815,0.905821627,0.211649189,0.596059113,-0.449888202,-0.74900873,-0.530093769,0.391822293,-0.081052076,0.726822395,-0.754037963,-0.036099566,-0.890870806,-0.94286355,-0.954611636,0.319142369,0.721168159,-0.049236596,-0.741249317,0.476298493,0.747587306,0.990476079,0.748175624,0.270281467,0.661447185,0.720871457,-0.816496581,0.612692001,0.058646882,0.318523009,0.835563808,0.036975097,0.43423141,0.325542944,0.917070056,-0.448149488,0.90772913,0.173042181,0.525367283,-0.21540386,0.606954396,0.56017984,0.218709052,-0.391342226,-0.946328368,-0.768657724,-0.030073771,Pitti Immagine,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
Buckskins,Academy Awards,0.080545484,0.776016949,-0.569260442,-0.427848087,-0.23834821,0.163106019,-0.153524815,-0.642095932,-0.24202567,-0.576100615,-0.242271856,0.526009821,-0.139898832,-0.526805324,0.655003401,0.9226417,-0.020792762,-0.494192907,-0.540275695,-0.231957006,0.312862131,-0.356205115,0.835642946,0.764558446,-0.917447133,0.302507535,0.495376104,0.946096718,0.506408102,-0.912636586,0.854731531,-0.897642159,0.071450447,0.700140042,-0.275553637,-0.721171874,-0.258158821,0.62201857,0.900980221,-0.160751526,-0.227106038,-0.236060762,0.333333333,-0.667154503,0.454532505,-0.413494924,0.392480829,-0.788651371,Academy Awards,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Buckskins,Bread and Butter,-0.213241474,-0.996787244,0.276355414,-0.176972083,0.47032372,-0.574314405,0.802838108,-0.617313615,0.375214185,-0.638665093,0.902228836,0.804888355,0.868224088,-0.942577384,0.240187012,0.901285093,-0.359515925,0.222042209,0.08560542,0.225646841,0.357539577,-0.935674292,0.917896771,0.305049182,-0.949008061,-0.222818083,0.899933533,0.338319122,0.554700196,0.784615025,-0.483373662,-0.583539033,0.116820523,0.392573537,-0.565266864,-0.222007137,-0.507737404,-0.515608286,0.395421719,-0.46736499,-0.069573451,0.120644781,-0.342872693,-0.014349108,-0.094551438,0,0.595088044,0.607794683,Bread and Butter,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
Buckskins,CFDA Fashion Awards,-0.6351054,0.688816042,-0.816496581,0,0,-0.68459615,0,0,0,0,-0.326376683,0.425544989,0,0,0,0.251445503,-0.333333333,-0.658240345,0.269218805,-0.547164511,0.60817518,0.145549334,0.737855472,-0.738664154,0,0,0,-0.865462135,0.19245009,0.129266418,-0.706063081,0.403696885,0.576261955,0.080845208,-0.367484208,0.078166359,0.973328527,-0.73998537,0,0,0.09028939,0,-0.333333333,0,0.904992337,0.788607374,0.275121647,0.452069388,CFDA Fashion Awards,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
