date,Paris Fashion Week Ready to Wear,Academy Awards,Milan SS Ready to Wear,London Fashion Week,Haute Couture Fashion Week,Pitti Immagine,Men's New York Fashion Week,CFDA Fashion Awards,New York Fashion Week,Milan Men's Fashion Week,Bread and Butter
2/2/14,13,47,53,0,0,12,0,1,28,16,15
2/9/14,16,38,38,18,0,7,15,1,33,30,12
2/16/14,19,24,13,54,0,9,5,1,20,15,24
2/23/14,66,46,9,18,0,9,5,1,13,30,14
3/2/14,69,55,35,0,0,17,0,1,0,0,15
3/9/14,17,31,16,0,0,14,0,1,0,0,7
3/16/14,11,26,25,0,0,14,5,1,0,45,0
3/23/14,11,20,31,0,0,12,5,1,0,30,7
3/30/14,8,10,6,0,0,7,0,1,0,23,10
4/6/14,7,16,10,0,0,6,0,1,0,15,7
4/13/14,7,38,13,0,0,7,5,0,14,16,10
4/20/14,6,18,10,19,0,7,0,1,0,15,10
4/27/14,6,21,13,0,0,8,0,0,13,15,12
5/4/14,7,31,23,0,0,14,0,1,0,0,10
5/11/14,6,17,32,0,0,10,5,0,13,0,19
5/18/14,7,16,20,0,0,21,0,1,14,16,5
5/25/14,7,27,21,0,0,24,0,1,0,68,16
6/1/14,9,27,25,20,0,17,6,100,0,17,11
6/8/14,7,12,14,20,0,21,6,12,0,17,14
6/15/14,9,23,40,20,0,68,0,4,0,77,11
6/22/14,14,41,47,21,0,25,6,3,0,68,8
6/29/14,12,12,26,0,0,12,0,2,0,17,11
7/6/14,37,29,25,0,0,11,6,2,0,0,38
7/13/14,12,0,32,0,0,10,0,2,0,17,22
7/20/14,8,16,22,0,0,5,0,1,0,0,11
7/27/14,7,30,40,21,0,2,6,1,0,17,6
8/3/14,7,25,23,22,0,5,6,1,0,18,9
8/10/14,8,35,21,0,0,4,0,1,0,17,11
8/17/14,10,12,25,20,0,4,6,2,15,0,8
8/24/14,10,34,59,0,0,8,6,1,22,0,11
8/31/14,14,11,84,19,0,6,8,1,14,0,10
9/7/14,22,11,27,77,0,13,13,2,55,16,8
9/14/14,26,15,51,68,0,6,22,1,28,24,13
9/21/14,70,16,43,19,0,8,5,1,0,16,20
9/28/14,72,11,30,0,0,11,11,1,0,16,13
10/5/14,18,16,17,19,0,3,0,1,0,16,8
10/12/14,10,21,30,0,0,13,0,1,14,16,10
10/19/14,7,16,39,0,70,7,5,1,0,0,12
10/26/14,8,21,26,0,0,11,0,2,0,16,15
11/2/14,7,28,42,0,0,7,0,3,14,0,7
11/9/14,7,10,22,18,0,6,5,2,13,38,22
11/16/14,7,14,26,18,0,10,5,1,0,23,5
11/23/14,6,37,16,0,0,14,5,1,0,15,10
11/30/14,6,24,35,0,0,15,10,2,26,15,17
12/7/14,7,25,16,0,0,14,0,2,0,15,17
12/14/14,6,25,23,19,0,15,5,1,14,32,10
12/21/14,6,24,33,0,0,11,6,1,0,0,11
12/28/14,7,23,25,20,0,10,0,1,0,17,8
1/4/15,10,24,25,18,0,29,15,2,0,44,9
1/11/15,11,54,22,0,0,81,7,1,13,37,12
1/18/15,36,39,100,17,0,24,0,1,0,50,14
1/25/15,48,20,76,17,0,13,0,1,0,14,9
2/1/15,17,54,36,0,0,12,14,1,12,0,7
2/8/15,15,23,18,0,0,5,12,1,25,14,12
2/15/15,18,23,25,36,0,4,18,1,51,15,5
2/22/15,21,81,9,51,0,7,5,0,25,71,9
3/1/15,69,29,21,0,0,7,0,1,12,57,14
3/8/15,100,10,18,0,0,5,0,1,0,29,7
3/15/15,22,19,39,0,0,4,5,1,0,29,5
3/22/15,12,14,26,0,0,3,0,1,0,16,5
3/29/15,9,47,12,0,0,5,0,1,13,0,5
4/5/15,8,23,19,0,0,6,5,1,13,45,9
4/12/15,8,15,42,0,0,12,5,1,0,0,9
4/19/15,7,19,21,0,0,4,12,1,0,21,5
4/26/15,6,10,25,0,0,8,0,1,13,15,5
5/3/15,7,10,49,0,0,6,10,1,0,0,7
5/10/15,8,15,34,0,0,14,5,1,13,43,12
5/17/15,6,20,30,0,0,13,5,1,0,0,11
5/24/15,7,25,42,17,0,13,7,1,0,0,18
5/31/15,7,10,18,0,0,17,5,11,0,0,5
6/7/15,7,23,27,0,0,23,10,1,0,14,9
6/14/15,7,19,21,0,0,57,12,1,0,50,9
6/21/15,15,15,15,0,0,14,15,1,0,72,11
6/28/15,14,40,12,0,0,12,20,1,0,15,19
7/5/15,21,17,34,18,0,4,15,1,0,22,30
7/12/15,8,20,31,0,0,8,100,2,0,44,12
7/19/15,8,20,22,0,0,6,20,1,0,0,0
7/26/15,7,20,30,17,0,5,15,1,0,0,5
8/2/15,6,10,34,0,0,2,10,1,0,0,5
8/9/15,8,10,12,17,0,5,7,1,25,14,0
8/16/15,7,19,57,0,0,5,5,1,0,0,9
8/23/15,8,25,29,17,0,4,9,1,12,0,4
8/30/15,12,13,15,0,0,5,0,1,12,21,18
9/6/15,15,19,20,17,0,6,9,1,24,14,4
9/13/15,21,18,28,33,0,10,28,1,30,20,9
9/20/15,20,14,43,41,0,8,12,0,12,0,4
9/27/15,76,14,20,0,0,6,9,1,24,14,4
10/4/15,58,23,20,0,0,5,5,1,12,13,9
10/11/15,14,46,23,16,0,5,14,1,0,0,4
10/18/15,9,27,28,0,0,5,0,2,0,13,4
10/25/15,7,46,23,0,0,4,5,1,23,13,9
11/1/15,7,21,33,0,0,6,0,2,12,13,6
11/8/15,7,27,22,16,0,6,9,1,0,0,9
11/15/15,6,9,20,0,0,8,7,0,0,13,4
11/22/15,5,18,22,0,0,4,14,0,12,27,6
11/29/15,6,27,11,16,0,10,0,1,0,26,4
12/6/15,6,23,20,16,0,4,0,1,0,13,4
12/13/15,7,28,29,0,0,9,0,0,0,28,4
12/20/15,6,21,25,0,0,9,10,1,0,0,10
12/27/15,6,13,9,0,0,11,5,1,0,15,5
